train E000:   0% 0/156 [00:00<?, ?it/s.

train E000:  75% 117/156 [01:08<00:20,  1.88it/s, acc=0.3419, loss=4.4124]
train E000:  76% 118/156 [01:08<00:20,  1.87it/s, acc=0.3419, loss=4.4124.

train E000:  76% 118/156 [01:08<00:20,  1.87it/s, acc=0.3434, loss=4.3984]
train E000:  76% 119/156 [01:08<00:19,  1.86it/s, acc=0.3434, loss=4.3984.

train E000:  76% 119/156 [01:09<00:19,  1.86it/s, acc=0.3445, loss=4.3864]
train E000:  77% 120/156 [01:09<00:19,  1.83it/s, acc=0.3445, loss=4.3864.

train E000:  77% 120/156 [01:09<00:19,  1.83it/s, acc=0.3458, loss=4.3764]
train E000:  78% 121/156 [01:09<00:19,  1.80it/s, acc=0.3458, loss=4.3764.

train E000:  78% 121/156 [01:10<00:19,  1.80it/s, acc=0.3474, loss=4.3674]
train E000:  78% 122/156 [01:10<00:18,  1.81it/s, acc=0.3474, loss=4.3674.

train E000:  78% 122/156 [01:10<00:18,  1.81it/s, acc=0.3489, loss=4.3546]
train E000:  79% 123/156 [01:10<00:17,  1.83it/s, acc=0.3489, loss=4.3546.

train E000:  79% 123/156 [01:11<00:17,  1.83it/s, acc=0.3501, loss=4.3418]
train E000:  79% 124/156 [01:11<00:17,  1.85it/s, acc=0.3501, loss=4.3418.

train E000:  79% 124/156 [01:11<00:17,  1.85it/s, acc=0.3515, loss=4.3339]
train E000:  80% 125/156 [01:11<00:16,  1.86it/s, acc=0.3515, loss=4.3339.

train E000:  80% 125/156 [01:12<00:16,  1.86it/s, acc=0.3532, loss=4.3237]
train E000:  81% 126/156 [01:12<00:16,  1.87it/s, acc=0.3532, loss=4.3237.

train E000:  81% 126/156 [01:12<00:16,  1.87it/s, acc=0.3549, loss=4.3145]
train E000:  81% 127/156 [01:12<00:15,  1.88it/s, acc=0.3549, loss=4.3145.

train E000:  81% 127/156 [01:13<00:15,  1.88it/s, acc=0.3565, loss=4.3016]
train E000:  82% 128/156 [01:13<00:14,  1.89it/s, acc=0.3565, loss=4.3016.

train E000:  82% 128/156 [01:13<00:14,  1.89it/s, acc=0.3576, loss=4.2886]
train E000:  83% 129/156 [01:13<00:14,  1.89it/s, acc=0.3576, loss=4.2886.

train E000:  83% 129/156 [01:14<00:14,  1.89it/s, acc=0.3587, loss=4.2812]
train E000:  83% 130/156 [01:14<00:13,  1.90it/s, acc=0.3587, loss=4.2812.

train E000:  83% 130/156 [01:15<00:13,  1.90it/s, acc=0.3596, loss=4.2727]
train E000:  84% 131/156 [01:15<00:13,  1.90it/s, acc=0.3596, loss=4.2727.

train E000:  84% 131/156 [01:15<00:13,  1.90it/s, acc=0.3612, loss=4.2635]
train E000:  85% 132/156 [01:15<00:12,  1.88it/s, acc=0.3612, loss=4.2635.

train E000:  85% 132/156 [01:16<00:12,  1.88it/s, acc=0.3621, loss=4.2575]
train E000:  85% 133/156 [01:16<00:12,  1.87it/s, acc=0.3621, loss=4.2575.

train E000:  85% 133/156 [01:16<00:12,  1.87it/s, acc=0.3631, loss=4.2492]
train E000:  86% 134/156 [01:16<00:11,  1.89it/s, acc=0.3631, loss=4.2492.

train E000:  86% 134/156 [01:17<00:11,  1.89it/s, acc=0.3643, loss=4.2391]
train E000:  87% 135/156 [01:17<00:11,  1.91it/s, acc=0.3643, loss=4.2391.

train E000:  87% 135/156 [01:17<00:11,  1.91it/s, acc=0.3650, loss=4.2343]
train E000:  87% 136/156 [01:17<00:10,  1.90it/s, acc=0.3650, loss=4.2343.

train E000:  87% 136/156 [01:18<00:10,  1.90it/s, acc=0.3671, loss=4.2225]
train E000:  88% 137/156 [01:18<00:10,  1.88it/s, acc=0.3671, loss=4.2225.

train E000:  88% 137/156 [01:18<00:10,  1.88it/s, acc=0.3689, loss=4.2121]
train E000:  88% 138/156 [01:18<00:09,  1.88it/s, acc=0.3689, loss=4.2121.

train E000:  88% 138/156 [01:19<00:09,  1.88it/s, acc=0.3704, loss=4.1994]
train E000:  89% 139/156 [01:19<00:09,  1.87it/s, acc=0.3704, loss=4.1994.

train E000:  89% 139/156 [01:19<00:09,  1.87it/s, acc=0.3717, loss=4.1901]
train E000:  90% 140/156 [01:19<00:08,  1.88it/s, acc=0.3717, loss=4.1901.

train E000:  90% 140/156 [01:20<00:08,  1.88it/s, acc=0.3726, loss=4.1810]
train E000:  90% 141/156 [01:20<00:07,  1.88it/s, acc=0.3726, loss=4.1810.

train E000:  90% 141/156 [01:20<00:07,  1.88it/s, acc=0.3734, loss=4.1737]
train E000:  91% 142/156 [01:20<00:07,  1.88it/s, acc=0.3734, loss=4.1737.

train E000:  91% 142/156 [01:21<00:07,  1.88it/s, acc=0.3748, loss=4.1627]
train E000:  92% 143/156 [01:21<00:06,  1.87it/s, acc=0.3748, loss=4.1627.

train E000:  92% 143/156 [01:21<00:06,  1.87it/s, acc=0.3762, loss=4.1557]
train E000:  92% 144/156 [01:21<00:06,  1.88it/s, acc=0.3762, loss=4.1557.

train E000:  92% 144/156 [01:22<00:06,  1.88it/s, acc=0.3769, loss=4.1488]
train E000:  93% 145/156 [01:22<00:05,  1.89it/s, acc=0.3769, loss=4.1488.

train E000:  93% 145/156 [01:22<00:05,  1.89it/s, acc=0.3786, loss=4.1404]
train E000:  94% 146/156 [01:22<00:05,  1.89it/s, acc=0.3786, loss=4.1404.

train E000:  94% 146/156 [01:23<00:05,  1.89it/s, acc=0.3805, loss=4.1295]
train E000:  94% 147/156 [01:23<00:04,  1.90it/s, acc=0.3805, loss=4.1295.

train E000:  94% 147/156 [01:24<00:04,  1.90it/s, acc=0.3816, loss=4.1246]
train E000:  95% 148/156 [01:24<00:04,  1.90it/s, acc=0.3816, loss=4.1246.

train E000:  95% 148/156 [01:24<00:04,  1.90it/s, acc=0.3828, loss=4.1168]
